name,lon,lat
Michigan,-86.92694176595236,44.39146045950571
Superior,-86.8103394455394,47.61797429200507
Ontario,-77.94843966362896,43.65317402791456
Erie,-81.25064613567108,42.17276165321945
Huron,-82.43912272704462,44.92214726597271
Saint Clair,-82.70787614899072,42.46136600475788
